n,rv20,rv200,rv2000
2615,0.1482,0.2218,0.6944
2620,0.2778,0.2241,0.6945
2625,0.2962,0.2188,0.6941
2630,0.3306,0.2253,0.6926
2635,0.2648,0.2249,0.6916
2640,0.2039,0.2294,0.6916
2645,0.1727,0.2237,0.6916
2650,0.1906,0.2173,0.6920
2655,0.2003,0.2169,0.6917
2660,0.1827,0.2198,0.6924
2665,0.1721,0.2166,0.6925
2670,0.1707,0.2128,0.6926
2675,0.2364,0.2174,0.6938
2680,0.2115,0.2149,0.6936
2685,0.2474,0.2144,0.6929
2690,0.1881,0.2114,0.6918
2695,0.1008,0.2102,0.6901
2700,0.1040,0.2051,0.6891
2705,0.0784,0.1992,0.6868
2710,0.1650,0.2121,0.6861
2715,0.1684,0.2060,0.6852
2720,0.2437,0.2088,0.6826
2725,0.2238,0.2042,0.6828
2730,0.1941,0.2043,0.6825
2735,0.1480,0.2028,0.6814
2740,0.1011,0.2055,0.6787
2745,0.1163,0.2133,0.6778
2750,0.1619,0.2262,0.6773
2755,0.1656,0.2331,0.6747
2760,0.1730,0.2349,0.6733
2765,0.2175,0.2461,0.6735
2770,0.1954,0.2496,0.6720
2775,0.1863,0.2620,0.6694
2780,0.2246,0.2643,0.6690
2785,0.1824,0.2654,0.6682
2790,0.1811,0.2594,0.6678
2795,0.1812,0.2648,0.6680
2800,0.2051,0.2679,0.6669
2805,0.2275,0.2717,0.6663
2810,0.2741,0.2789,0.6666
2815,0.3413,0.2816,0.6675
2820,0.3464,0.2705,0.6678
2825,0.3371,0.2685,0.6675
2830,0.2627,0.2658,0.6670
2835,0.1955,0.2696,0.6675
2840,0.2170,0.2635,0.6678
2845,0.2068,0.2648,0.6669
2850,0.2483,0.2614,0.6648
2855,0.3630,0.2719,0.6660
2860,0.3522,0.2647,0.6640
2865,0.3547,0.2674,0.6632
2870,0.3519,0.2612,0.6627
2875,0.2583,0.2563,0.6634
2880,0.1694,0.2551,0.6616
2885,0.2111,0.2562,0.6619
2890,0.1850,0.2569,0.6586
2895,0.1350,0.2537,0.6584
2900,0.1233,0.2503,0.6581
2905,0.1291,0.2467,0.6588
2910,0.1169,0.2439,0.6588
2915,0.1456,0.2356,0.6587
2920,0.1452,0.2334,0.6584
2925,0.1485,0.2312,0.6583
2930,0.2269,0.2394,0.6594
2935,0.3147,0.2477,0.6601
2940,0.3435,0.2501,0.6604
2945,0.3074,0.2493,0.6594
2950,0.2831,0.2514,0.6597
2955,0.2115,0.2523,0.6595
2960,0.1844,0.2508,0.6593
2965,0.2107,0.2484,0.6596
2970,0.2177,0.2560,0.6602
2975,0.2298,0.2573,0.6600
2980,0.2208,0.2508,0.6596
2985,0.2037,0.2505,0.6588
2990,0.1237,0.2512,0.6579
2995,0.1573,0.2551,0.6584
3000,0.2086,0.2504,0.6585
3005,0.2032,0.2443,0.6575
3010,0.2264,0.2421,0.6572
3015,0.2486,0.2404,0.6568
3020,0.2846,0.2452,0.6566
3025,0.3151,0.2435,0.6555
3030,0.2819,0.2455,0.6545
3035,0.2566,0.2480,0.6519
3040,0.2172,0.2497,0.6504
3045,0.2245,0.2502,0.6478
3050,0.2313,0.2468,0.6414
3055,0.1812,0.2291,0.6353
3060,0.1716,0.2307,0.6327
3065,0.1903,0.2342,0.6307
3070,0.1985,0.2324,0.6270
3075,0.2005,0.2261,0.6247
3080,0.1689,0.2270,0.6221
3085,0.1595,0.2282,0.6186
3090,0.1426,0.2261,0.6137
3095,0.1819,0.2309,0.6123
3100,0.1665,0.2305,0.6103
3105,0.1792,0.2322,0.6086
3110,0.1847,0.2354,0.6064
3115,0.1175,0.2349,0.6050
3120,0.1523,0.2338,0.6043
3125,0.2329,0.2378,0.6029
3130,0.1973,0.2256,0.6007
3135,0.1854,0.2194,0.6002
3140,0.2963,0.2267,0.6000
3145,0.2518,0.2296,0.5990
3150,0.2631,0.2231,0.5964
3155,0.3140,0.2263,0.5965
3160,0.1997,0.2256,0.5959
3165,0.1424,0.2202,0.5951
3170,0.1419,0.2060,0.5941
3175,0.0930,0.2051,0.5934
3180,0.1367,0.2100,0.5918
3185,0.1643,0.2130,0.5917
3190,0.1668,0.2092,0.5917
3195,0.2611,0.2129,0.5925
3200,0.2145,0.2080,0.5919
3205,0.1979,0.2103,0.5904
3210,0.2433,0.2125,0.5901
3215,0.2217,0.2130,0.5901
3220,0.2222,0.2027,0.5892
3225,0.2156,0.2053,0.5888
3230,0.1341,0.2052,0.5879
3235,0.1176,0.2012,0.5880
3240,0.1448,0.1987,0.5883
3245,0.1369,0.1996,0.5882
3250,0.1402,0.2010,0.5878
3255,0.0914,0.2032,0.5870
3260,0.0397,0.2005,0.5865
3265,0.1113,0.2017,0.5870
3270,0.2050,0.2048,0.5874
3275,0.2279,0.2078,0.5875
3280,0.2326,0.2076,0.5876
3285,0.2041,0.2059,0.5869
3290,0.1549,0.2077,0.5855
3295,0.1284,0.2041,0.5831
3300,0.1226,0.2049,0.5829
3305,0.0873,0.1963,0.5827
3310,0.0716,0.1909,0.5825
3315,0.0992,0.1887,0.5815
3320,0.1694,0.1966,0.5810
3325,0.1851,0.1947,0.5810
3330,0.2002,0.1971,0.5804
3335,0.1532,0.1928,0.5794
3340,0.1168,0.1801,0.5778
3345,0.1480,0.1829,0.5752
3350,0.1446,0.1812,0.5747
3355,0.1897,0.1780,0.5749
3360,0.2059,0.1761,0.5728
3365,0.1929,0.1764,0.5706
3370,0.2418,0.1803,0.5676
3375,0.2188,0.1833,0.5622
3380,0.2106,0.1787,0.5530
3385,0.2484,0.1810,0.5456
3390,0.1836,0.1767,0.5385
3395,0.1501,0.1689,0.5331
3400,0.1498,0.1711,0.5276
3405,0.1188,0.1706,0.5211
3410,0.1603,0.1675,0.5155
3415,0.1726,0.1635,0.5055
3420,0.1804,0.1646,0.4984
3425,0.1618,0.1652,0.4905
3430,0.1596,0.1700,0.4830
3435,0.1679,0.1676,0.4767
3440,0.1914,0.1701,0.4737
3445,0.2416,0.1779,0.4725
3450,0.2238,0.1809,0.4708
3455,0.2437,0.1848,0.4691
3460,0.2000,0.1849,0.4658
3465,0.1774,0.1837,0.4628
3470,0.1902,0.1792,0.4591
3475,0.1934,0.1821,0.4578
3480,0.1981,0.1838,0.4561
3485,0.2357,0.1880,0.4551
3490,0.2455,0.1892,0.4520
3495,0.2005,0.1890,0.4499
3500,0.2209,0.1948,0.4488
3505,0.2012,0.1994,0.4475
3510,0.2851,0.2159,0.4444
3515,0.4141,0.2511,0.4447
3520,0.2233,0.2636,0.4453
3525,0.1814,0.2923,0.4460
3530,0.1500,0.3280,0.4473
3535,0.2573,0.3860,0.4502
3540,0.3729,0.4040,0.4502
3545,0.3829,0.4260,0.4514
3550,0.4269,0.4430,0.4513
3555,0.2987,0.4512,0.4506
3560,0.2015,0.4542,0.4496
3565,0.2168,0.4791,0.4514
3570,0.3088,0.5276,0.4562
3575,0.3450,0.5290,0.4558
3580,0.4828,0.5246,0.4540
3585,0.4323,0.5146,0.4527
3590,0.3466,0.5472,0.4564
3595,0.6453,0.6154,0.4635
3600,0.4015,0.6213,0.4626
3605,0.3541,0.6111,0.4621
3610,0.3875,0.6014,0.4616
3615,0.1560,0.5967,0.4615
3620,0.1887,0.5944,0.4594
3625,0.2420,0.5827,0.4589
3630,0.3467,0.5910,0.4556
3635,0.3787,0.6119,0.4554
3640,0.3921,0.6428,0.4565
3645,0.2828,0.6659,0.4589
3650,0.2406,0.7260,0.4620
3655,0.1956,0.7644,0.4633
3660,0.2326,0.8505,0.4669
3665,0.1771,0.9301,0.4729
3670,0.2309,1.0050,0.4770
3675,0.2168,1.0711,0.4791
3680,0.1780,1.1300,0.4841
3685,0.2812,1.1605,0.4860
3690,0.2740,1.2146,0.4896
3695,0.2444,1.2452,0.4914
3700,0.2723,1.2740,0.4926
3705,0.2437,1.2993,0.4945
3710,0.1662,1.3185,0.4954
3715,0.2240,1.3061,0.4952
3720,0.2078,1.3045,0.4964
3725,0.1698,1.2835,0.4959
3730,0.1791,1.2487,0.4969
3735,0.1490,1.1892,0.4969
3740,0.1660,1.1812,0.4986
3745,0.1921,1.1444,0.4992
3750,0.2054,1.1293,0.5024
3755,0.2148,1.1158,0.5051
3760,0.2109,1.1054,0.5068
3765,0.2482,1.0349,0.5065
3770,0.2419,0.9233,0.5068
3775,0.2699,0.9089,0.5086
3780,0.3240,0.9146,0.5098
3785,0.3262,0.9115,0.5129
3790,0.2576,0.8015,0.5147
3795,0.2852,0.6351,0.5179
3800,0.2752,0.5539,0.5184
3805,0.1490,0.5035,0.5232
3810,0.2127,0.4368,0.5282
3815,0.2122,0.3782,0.5316
3820,0.2509,0.3373,0.5360
3825,0.2181,0.2957,0.5408
3830,0.1840,0.2824,0.5451
3835,0.1402,0.2754,0.5490
3840,0.0763,0.2729,0.5527
3845,0.1139,0.2732,0.5571
3850,0.1394,0.2760,0.5605
3855,0.1656,0.2759,0.5643
3860,0.1525,0.2709,0.5679
3865,0.1548,0.2708,0.5723
3870,0.2270,0.2730,0.5781
3875,0.2295,0.2731,0.5843
3880,0.2340,0.2749,0.5885
3885,0.1886,0.2651,0.5927
3890,0.1554,0.2669,0.5994
3895,0.1845,0.2759,0.6072
3900,0.2807,0.2780,0.6080
3905,0.2830,0.2708,0.6131
3910,0.2392,0.2734,0.6196
3915,0.1973,0.2631,0.6222
