dataset,window_len,pipeline,model,fold,seed,accuracy,balanced_accuracy,f1_weighted,f1_macro,precision_weighted,recall_weighted,precision_macro,recall_macro,cohen_kappa,mcc,ece,log_loss,mean_confidence,std_confidence,mean_entropy,std_entropy,data_load_time_s,train_cpu_s,train_wall_s,infer_wall_s,model_size_mb,train_samples,test_samples,n_features
office_localization_data,2000,rolling_variance,RandomForest,-1,42,0.8543,0.8767,0.8486,0.826,0.9105,0.8543,0.8542,0.8767,0.8051,0.8242,0.1323,0.4358,0.7622,0.1849,0.5916,0.3328,423.412,16.094,2.748,0.6333,0.65,296,254,104000
office_localization_data,2000,rolling_variance,XGBoost,-1,42,0.7992,0.8203,0.7882,0.7661,0.8494,0.7992,0.795,0.8203,0.7318,0.7525,0.0941,0.5337,0.8841,0.1532,0.3194,0.3348,423.412,3712.875,440.891,0.5928,0.34,296,254,104000
office_localization_data,500,amplitude,RandomForest,-1,42,0.9054,0.918,0.8998,0.8999,0.9163,0.9054,0.9029,0.918,0.8709,0.8777,0.0548,1.3833,0.9305,0.1337,0.163,0.2787,429.259,21.172,7.869,3.1878,0.19,1196,1025,26000
office_localization_data,500,amplitude,XGBoost,-1,42,0.8439,0.8586,0.841,0.8363,0.8629,0.8439,0.8402,0.8586,0.7879,0.7954,0.1681,1.0132,0.9346,0.1643,0.1302,0.3046,429.259,866.719,235.368,0.1599,0.3,1196,1025,26000
office_localization_data,500,amplitude_phase,RandomForest,-1,42,0.9063,0.9189,0.9007,0.9003,0.9173,0.9063,0.903,0.9189,0.8723,0.879,0.0546,1.3749,0.9382,0.1192,0.1547,0.2644,1307.214,26.859,7.231,4.6237,0.19,1196,1025,52000
office_localization_data,500,amplitude_phase,XGBoost,-1,42,0.8439,0.8586,0.841,0.8363,0.8629,0.8439,0.8402,0.8586,0.7879,0.7954,0.1681,1.0132,0.9346,0.1643,0.1302,0.3046,1307.214,1866.0,602.934,0.3432,0.3,1196,1025,52000
office_localization_data,500,amplitude_sanitized,RandomForest,-1,42,0.9063,0.9189,0.9007,0.9003,0.9173,0.9063,0.903,0.9189,0.8723,0.879,0.0546,1.3771,0.9382,0.1192,0.1548,0.2639,9629.644,27.0,7.379,3.9838,0.19,1196,1025,52000
office_localization_data,500,amplitude_sanitized,XGBoost,-1,42,0.8439,0.8586,0.8412,0.8353,0.8634,0.8439,0.8389,0.8586,0.788,0.7955,0.1686,1.0149,0.9347,0.1637,0.1302,0.3042,9629.644,2414.203,461.005,0.8489,0.3,1196,1025,52000
office_localization_data,500,rolling_variance,RandomForest,-1,42,0.8907,0.9021,0.8882,0.8697,0.9169,0.8907,0.8748,0.9021,0.8524,0.8616,0.1006,0.3289,0.799,0.1826,0.4803,0.3352,976.358,55.406,8.085,2.8839,2.19,1196,1025,26000
office_localization_data,500,rolling_variance,XGBoost,-1,42,0.8683,0.8818,0.8649,0.8417,0.907,0.8683,0.8562,0.8818,0.823,0.8363,0.0547,0.3503,0.9225,0.1192,0.208,0.2501,976.358,1706.844,355.234,0.4146,0.4,1196,1025,26000
