dataset,window_len,pipeline,model,n_seeds,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,f1_weighted_mean,f1_weighted_std,f1_macro_mean,f1_macro_std,precision_weighted_mean,precision_weighted_std,recall_weighted_mean,recall_weighted_std,precision_macro_mean,precision_macro_std,recall_macro_mean,recall_macro_std,cohen_kappa_mean,cohen_kappa_std,mcc_mean,mcc_std,ece_mean,ece_std,log_loss_mean,log_loss_std,mean_confidence_mean,mean_confidence_std,std_confidence_mean,std_confidence_std,mean_entropy_mean,mean_entropy_std,std_entropy_mean,std_entropy_std
home_occupation_data,wl500,amplitude,XGBoost,1,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0012,0.0,0.0012,0.0,0.9988,0.0,0.0022,0.0,0.0096,0.0,0.0108,0.0
home_occupation_data,wl500,amplitude_phase,RandomForest,1,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0079,0.0,0.0081,0.0,0.9921,0.0,0.017,0.0,0.0372,0.0,0.0637,0.0
home_occupation_data,wl500,amplitude_phase,XGBoost,1,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0012,0.0,0.0012,0.0,0.9988,0.0,0.0018,0.0,0.0096,0.0,0.0099,0.0
home_occupation_data,wl500,amplitude_sanitized,RandomForest,1,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0067,0.0,0.0069,0.0,0.9933,0.0,0.0164,0.0,0.031,0.0,0.06,0.0
home_occupation_data,wl500,amplitude_sanitized,XGBoost,1,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0016,0.0,0.0017,0.0,0.9984,0.0,0.0022,0.0,0.0122,0.0,0.0121,0.0
home_occupation_data,wl500,rolling_variance,RandomForest,1,0.971,0.0,0.971,0.0,0.971,0.0,0.971,0.0,0.9712,0.0,0.971,0.0,0.9712,0.0,0.971,0.0,0.9565,0.0,0.9566,0.0,0.1556,0.0,0.2344,0.0,0.8154,0.0,0.1544,0.0,0.4724,0.0,0.295,0.0
home_occupation_data,wl500,rolling_variance,XGBoost,1,0.9866,0.0,0.9866,0.0,0.9866,0.0,0.9866,0.0,0.9866,0.0,0.9866,0.0,0.9866,0.0,0.9866,0.0,0.9799,0.0,0.9799,0.0,0.0264,0.0,0.0614,0.0,0.9602,0.0,0.0839,0.0,0.1221,0.0,0.1845,0.0
office_har_data,wl1000,amplitude,RandomForest,1,0.8,0.0,0.7984,0.0,0.7803,0.0,0.7549,0.0,0.8722,0.0,0.8,0.0,0.8349,0.0,0.7984,0.0,0.734,0.0,0.7654,0.0,0.0874,0.0,0.5553,0.0,0.8874,0.0,0.1426,0.0,0.3042,0.0,0.2838,0.0
office_har_data,wl1000,amplitude,XGBoost,1,0.8,0.0,0.7984,0.0,0.7781,0.0,0.7544,0.0,0.8663,0.0,0.8,0.0,0.8317,0.0,0.7984,0.0,0.7336,0.0,0.7635,0.0,0.1362,0.0,0.8724,0.0,0.9362,0.0,0.119,0.0,0.1972,0.0,0.2719,0.0
office_har_data,wl1000,amplitude_phase,RandomForest,1,0.7917,0.0,0.7919,0.0,0.7712,0.0,0.7485,0.0,0.8437,0.0,0.7917,0.0,0.8091,0.0,0.7919,0.0,0.7227,0.0,0.7506,0.0,0.0855,0.0,0.8498,0.0,0.8771,0.0,0.1344,0.0,0.336,0.0,0.2623,0.0
office_har_data,wl1000,amplitude_phase,XGBoost,1,0.8,0.0,0.7984,0.0,0.7781,0.0,0.7544,0.0,0.8663,0.0,0.8,0.0,0.8317,0.0,0.7984,0.0,0.7336,0.0,0.7635,0.0,0.1515,0.0,0.8968,0.0,0.9331,0.0,0.1239,0.0,0.2092,0.0,0.2967,0.0
office_har_data,wl1000,amplitude_sanitized,RandomForest,1,0.7917,0.0,0.7919,0.0,0.7712,0.0,0.7485,0.0,0.8437,0.0,0.7917,0.0,0.8091,0.0,0.7919,0.0,0.7227,0.0,0.7506,0.0,0.084,0.0,0.5712,0.0,0.8756,0.0,0.1358,0.0,0.3392,0.0,0.2626,0.0
